Datetime,PM2.5,PM10,NO2,O3,CO,SO2,pm25_si,pm10_si,AQI,AQI_category,is_safe_hour,hour,weekday
2020-06-01 01:00:00,6.84,43.93,5.32,21.11,0.28,7.11,11.4,43.93,43.93,Good,True,1,0
2020-06-01 02:00:00,8.71,54.27,6.19,17.52,0.19,6.92,14.51666666666667,54.27,54.27,Satisfactory,True,2,0
2020-06-01 03:00:00,7.91,53.97,6.32,19.01,0.16,7.77,13.183333333333334,53.97,53.97,Satisfactory,True,3,0
2020-06-01 04:00:00,7.38,49.5,6.07,15.94,0.2,7.88,12.3,49.5,49.5,Good,True,4,0
2020-06-01 05:00:00,6.93,31.9,7.39,15.89,0.18,7.75,11.55,31.9,31.9,Good,True,5,0
2020-06-01 06:00:00,9.16,38.78,7.44,15.85,0.22,8.15,15.266666666666667,38.78,38.78,Good,True,6,0
2020-06-01 07:00:00,8.14,23.61,8.41,21.36,0.24,7.24,13.566666666666668,23.61,23.61,Good,True,7,0
2020-06-01 08:00:00,6.62,21.61,11.23,14.36,0.3,7.15,11.033333333333333,21.61,21.61,Good,True,8,0
2020-06-01 09:00:00,11.82,31.94,10.66,15.99,0.27,7.79,19.700000000000003,31.94,31.94,Good,True,9,0
2020-06-01 10:00:00,14.39,29.21,9.62,15.03,0.27,7.86,23.983333333333334,29.21,29.21,Good,True,10,0
2020-06-01 11:00:00,15.33,20.15,9.59,16.58,0.31,7.47,25.55,20.15,25.55,Good,True,11,0
2020-06-01 12:00:00,13.97,35.01,13.54,20.12,0.43,7.69,23.283333333333335,35.01,35.01,Good,True,12,0
2020-06-01 13:00:00,29.06,58.93,18.62,30.57,0.45,8.06,48.43333333333333,58.93,58.93,Satisfactory,True,13,0
2020-06-01 14:00:00,32.11,70.43,22.42,33.19,0.39,8.82,52.875517241379306,70.43,70.43,Satisfactory,True,14,0
2020-06-01 15:00:00,28.49,64.2,28.6,33.93,0.45,6.65,47.483333333333334,64.2,64.2,Satisfactory,True,15,0
2020-06-01 16:00:00,24.59,56.43,24.59,35.07,0.46,6.63,40.983333333333334,56.43,56.43,Satisfactory,True,16,0
2020-06-01 17:00:00,22.96,46.48,21.03,49.82,0.46,6.69,38.26666666666667,46.48,46.48,Good,True,17,0
2020-06-01 18:00:00,22.86,37.99,18.68,49.14,0.4,6.74,38.1,37.99,38.1,Good,True,18,0
2020-06-01 19:00:00,23.66,42.52,17.67,32.15,0.41,8.44,39.43333333333334,42.52,42.52,Good,True,19,0
2020-06-01 20:00:00,31.11,67.24,16.61,33.13,0.47,9.51,51.18586206896552,67.24,67.24,Satisfactory,True,20,0
2020-06-01 21:00:00,33.05,70.89,15.01,32.16,0.42,9.88,54.46379310344827,70.89,70.89,Satisfactory,True,21,0
2020-06-01 22:00:00,20.45,42.24,14.58,25.19,0.42,7.55,34.083333333333336,42.24,42.24,Good,True,22,0
2020-06-01 23:00:00,21.8,40.32,12.39,28.98,0.29,8.09,36.333333333333336,40.32,40.32,Good,True,23,0
2020-06-02 00:00:00,17.91,40.85,10.62,26.46,0.29,7.44,29.85,40.85,40.85,Good,True,0,1
2020-06-02 01:00:00,14.16,36.52,11.78,22.62,0.37,6.32,23.6,36.52,36.52,Good,True,1,1
2020-06-02 02:00:00,14.38,27.19,9.67,20.41,0.38,6.28,23.96666666666667,27.19,27.19,Good,True,2,1
2020-06-02 03:00:00,11.63,23.55,9.56,22.14,0.35,8.26,19.383333333333336,23.55,23.55,Good,True,3,1
2020-06-02 04:00:00,11.3,23.42,8.67,22.85,0.25,8.2,18.833333333333336,23.42,23.42,Good,True,4,1
2020-06-02 05:00:00,12.14,24.48,8.37,22.03,0.3,6.32,20.233333333333334,24.48,24.48,Good,True,5,1
2020-06-02 06:00:00,19.91,24.73,10.21,16.23,0.35,10.38,33.18333333333334,24.73,33.18333333333334,Good,True,6,1
2020-06-02 07:00:00,18.64,31.92,11.66,20.91,0.4,10.26,31.06666666666667,31.92,31.92,Good,True,7,1
2020-06-02 08:00:00,21.9,45.81,11.76,20.08,0.48,7.6,36.5,45.81,45.81,Good,True,8,1
2020-06-02 09:00:00,22.83,41.67,14.34,19.24,0.45,9.88,38.05,41.67,41.67,Good,True,9,1
2020-06-02 10:00:00,21.64,60.14,15.28,18.85,0.46,7.1,36.06666666666667,60.14,60.14,Satisfactory,True,10,1
2020-06-02 11:00:00,31.59,69.24,15.2,25.31,0.49,7.93,51.996896551724134,69.24,69.24,Satisfactory,True,11,1
2020-06-02 12:00:00,33.83,83.64,16.42,29.27,0.46,8.71,55.78172413793103,83.64,83.64,Satisfactory,True,12,1
2020-06-02 13:00:00,27.67,60.75,22.8,34.62,0.46,7.61,46.116666666666674,60.75,60.75,Satisfactory,True,13,1
2020-06-02 14:00:00,21.8,56.2,22.28,34.42,0.47,6.84,36.333333333333336,56.2,56.2,Satisfactory,True,14,1
2020-06-02 15:00:00,23.05,58.31,21.75,35.17,0.47,7.02,38.41666666666667,58.31,58.31,Satisfactory,True,15,1
2020-06-02 16:00:00,22.4,51.09,21.25,34.86,0.43,6.38,37.333333333333336,51.09,51.09,Satisfactory,True,16,1
2020-06-02 17:00:00,21.34,53.68,20.42,31.17,0.39,6.83,35.56666666666667,53.68,53.68,Satisfactory,True,17,1
2020-06-02 18:00:00,16.65,48.14,23.47,23.26,0.42,7.19,27.75,48.14,48.14,Good,True,18,1
2020-06-02 19:00:00,22.58,53.85,24.11,17.42,0.48,7.24,37.63333333333333,53.85,53.85,Satisfactory,True,19,1
2020-06-02 20:00:00,27.0,54.49,22.35,17.7,0.51,7.55,45.0,54.49,54.49,Satisfactory,True,20,1
2020-06-02 21:00:00,30.66,47.73,24.01,15.03,0.59,7.69,,47.73,47.73,Good,True,21,1
2020-06-02 22:00:00,32.61,55.81,21.07,17.53,0.54,7.47,53.7203448275862,55.81,55.81,Satisfactory,True,22,1
2020-06-02 23:00:00,29.0,45.0,21.52,14.9,0.57,8.54,48.333333333333336,45.0,48.333333333333336,Good,True,23,1
2020-06-03 00:00:00,28.62,48.29,18.36,15.1,0.52,8.54,47.7,48.29,48.29,Good,True,0,2
2020-06-03 01:00:00,25.41,36.93,13.07,20.55,0.42,6.18,42.35,36.93,42.35,Good,True,1,2
2020-06-03 02:00:00,12.56,33.13,12.56,26.81,0.36,6.9,20.933333333333334,33.13,33.13,Good,True,2,2
2020-06-03 03:00:00,12.64,28.78,12.81,25.52,0.38,4.85,21.06666666666667,28.78,28.78,Good,True,3,2
2020-06-03 04:00:00,15.21,24.91,12.74,27.82,0.37,7.27,25.35,24.91,25.35,Good,True,4,2
2020-06-03 05:00:00,12.68,24.67,13.84,27.82,0.3,7.28,21.133333333333333,24.67,24.67,Good,True,5,2
2020-06-03 06:00:00,10.32,20.83,12.61,26.78,0.27,6.66,17.200000000000003,20.83,20.83,Good,True,6,2
2020-06-03 07:00:00,8.44,20.41,13.84,23.19,0.3,8.13,14.066666666666666,20.41,20.41,Good,True,7,2
2020-06-03 08:00:00,7.56,17.36,14.95,20.64,0.32,6.56,12.6,17.36,17.36,Good,True,8,2
2020-06-03 09:00:00,6.32,14.04,13.07,20.86,0.3,6.42,10.533333333333335,14.04,14.04,Good,True,9,2
2020-06-03 10:00:00,5.46,12.53,13.18,20.75,0.3,6.95,9.1,12.53,12.53,Good,True,10,2
2020-06-03 11:00:00,3.36,13.42,11.52,17.27,0.26,7.62,5.6,13.42,13.42,Good,True,11,2
2020-06-03 12:00:00,4.7,12.54,14.3,18.14,0.27,8.38,7.833333333333334,12.54,12.54,Good,True,12,2
2020-06-03 13:00:00,4.99,13.16,13.25,18.85,0.26,8.56,8.316666666666668,13.16,13.16,Good,True,13,2
2020-06-03 14:00:00,4.26,11.08,12.07,20.25,0.22,8.0,7.1,11.08,11.08,Good,True,14,2
2020-06-03 15:00:00,2.95,10.82,11.78,21.83,0.19,8.48,4.916666666666667,10.82,10.82,Good,True,15,2
2020-06-03 16:00:00,3.4,12.81,11.56,23.95,0.18,9.07,5.666666666666667,12.81,12.81,Good,True,16,2
2020-06-03 17:00:00,3.73,12.71,9.37,26.69,0.2,8.27,6.216666666666667,12.71,12.71,Good,True,17,2
2020-06-03 18:00:00,4.78,14.27,9.68,25.27,0.2,8.23,7.966666666666668,14.27,14.27,Good,True,18,2
2020-06-03 19:00:00,5.18,10.24,10.15,24.53,0.21,7.89,8.633333333333333,10.24,10.24,Good,True,19,2
2020-06-03 20:00:00,2.99,9.84,10.76,23.72,0.22,8.03,4.983333333333334,9.84,9.84,Good,True,20,2
2020-06-03 21:00:00,3.71,11.6,12.21,21.64,0.25,8.29,6.183333333333334,11.6,11.6,Good,True,21,2
2020-06-03 22:00:00,5.25,19.79,10.21,23.54,0.23,9.08,8.75,19.79,19.79,Good,True,22,2
2020-06-03 23:00:00,6.65,23.01,9.27,27.82,0.2,9.28,11.083333333333334,23.01,23.01,Good,True,23,2
